Actual Bias,Predicted Bias
left,right
right,right
right,right
left,left
center,left
left,left
center,left
left,right
right,left
left,left
right,left
left,left
left,left
left,left
left,left
right,left
left,left
right,right
left,left
right,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
right,left
left,left
right,left
right,right
center,left
left,left
left,left
right,right
right,right
center,right
left,left
left,left
left,left
center,right
left,left
right,right
right,left
left,left
left,right
right,right
right,right
left,left
left,left
left,left
left,left
left,right
right,right
left,left
left,left
right,right
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
center,right
left,left
left,left
right,right
right,left
center,right
left,left
left,left
center,right
left,left
left,left
left,left
left,left
left,right
left,left
right,right
center,left
left,left
left,left
left,left
left,right
right,right
right,left
center,right
left,right
center,left
left,left
left,left
right,right
center,right
left,right
right,right
left,left
center,left
left,left
left,left
right,right
left,right
left,left
left,left
left,left
center,left
right,right
left,left
right,right
right,right
center,left
right,right
left,left
center,left
right,right
left,left
left,left
left,left
left,left
right,right
left,left
left,left
center,left
left,left
right,right
right,right
right,left
right,right
left,left
right,right
left,left
left,left
left,left
left,left
left,left
left,left
right,left
center,right
left,left
right,right
left,left
left,left
left,left
left,left
left,left
right,left
left,left
left,left
left,left
left,left
left,left
left,right
right,right
left,right
left,left
right,left
left,left
left,left
right,left
left,left
left,left
left,left
left,left
left,left
left,left
right,right
left,left
left,left
left,left
left,left
center,right
left,left
right,right
right,right
center,left
left,left
center,left
left,left
left,left
left,left
right,right
left,left
center,right
left,left
right,right
left,left
center,right
left,left
left,left
right,right
left,left
left,left
left,left
center,right
left,left
left,left
right,left
right,right
center,left
center,left
right,left
left,left
left,left
center,left
right,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
right,right
left,left
right,left
left,left
left,left
left,left
center,right
left,left
left,right
left,left
left,right
right,left
left,left
center,right
left,left
right,right
center,right
left,left
left,right
left,left
left,left
left,left
left,left
left,right
left,left
left,left
left,left
left,left
left,left
right,left
right,left
left,left
right,left
left,right
left,left
left,left
left,left
left,left
left,left
right,left
right,right
left,left
left,left
center,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
right,right
right,left
left,left
left,left
left,left
left,left
left,left
left,left
right,left
right,right
left,left
right,right
right,left
left,left
left,left
left,left
left,left
left,left
right,right
left,left
left,left
center,right
left,left
right,right
left,left
left,left
left,left
left,left
left,left
left,left
left,left
center,right
center,right
left,left
left,left
left,left
left,left
left,left
left,left
left,left
right,left
right,right
center,left
left,left
left,left
right,right
left,left
center,left
right,right
left,left
left,left
left,left
left,left
left,left
right,left
left,right
left,left
right,right
left,left
left,left
right,right
right,right
left,left
left,left
right,right
center,left
left,left
left,left
left,left
left,left
left,left
right,right
left,left
left,left
left,left
left,left
left,left
left,left
left,left
right,left
left,left
left,right
right,right
left,left
left,left
left,left
left,left
right,right
left,left
left,left
right,right
left,left
left,left
center,left
left,left
right,right
left,left
left,left
left,left
left,left
left,left
right,right
right,left
center,left
left,left
left,left
left,left
left,left
right,left
left,left
left,left
left,left
left,left
left,left
left,left
right,right
right,left
left,left
left,left
left,left
right,right
left,left
left,left
left,left
left,left
right,left
left,left
left,left
left,left
left,left
left,left
left,left
left,right
right,left
right,right
right,left
right,left
left,left
left,left
left,left
left,left
right,right
left,left
right,right
left,left
left,left
right,right
left,left
left,left
left,left
left,right
right,left
left,left
left,left
left,left
left,left
right,left
left,left
left,left
left,left
left,left
left,left
left,left
center,left
left,left
left,left
center,left
left,left
right,left
left,left
left,left
left,left
right,right
right,right
left,left
left,left
left,right
center,right
center,right
right,left
left,left
center,right
right,right
left,left
right,right
left,left
left,left
left,left
left,right
right,left
right,left
center,right
right,right
left,left
right,left
right,right
right,right
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
right,right
left,left
left,left
left,right
left,left
left,left
left,left
left,left
left,left
left,left
right,right
right,right
left,left
left,left
left,left
center,right
left,left
left,left
center,right
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
center,left
left,left
right,right
left,left
left,left
center,right
left,left
left,left
left,left
left,left
center,left
left,left
left,left
right,right
left,left
left,left
right,right
left,left
left,left
center,left
left,left
left,left
left,left
right,left
left,left
right,right
left,left
left,left
left,left
left,left
left,left
right,right
left,right
left,left
left,left
left,left
center,left
right,right
left,left
left,left
right,left
right,left
left,left
left,left
left,left
left,left
right,left
left,left
left,left
left,left
left,right
center,left
right,right
left,left
left,left
left,left
left,left
left,left
left,left
left,left
center,left
left,left
left,left
left,left
center,right
left,left
left,left
right,right
right,right
left,left
left,left
left,left
left,left
left,left
right,right
left,left
right,right
left,left
left,left
left,left
left,left
left,left
left,left
center,left
left,left
left,left
left,left
left,left
left,left
right,left
left,left
right,right
right,right
left,right
center,right
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,right
left,left
left,left
left,left
center,right
right,left
left,right
center,left
left,left
center,left
left,left
left,left
left,left
center,right
left,left
left,left
left,left
right,left
left,left
left,left
left,left
center,left
right,left
left,left
left,left
left,left
left,left
left,left
center,right
right,left
right,left
right,left
left,left
left,left
right,left
left,left
left,left
right,right
left,left
left,left
center,left
right,right
left,left
left,left
left,left
right,right
right,left
right,right
left,left
left,left
left,left
left,right
left,left
left,left
left,right
left,left
left,left
center,right
left,left
right,right
left,left
left,left
left,left
left,left
right,right
left,left
left,left
left,left
right,right
left,left
left,left
