Actual Bias,Predicted Bias
left,left
lean right,right
right,right
lean left,left
center,left
left,left
center,left
left,right
lean right,left
left,left
right,left
left,left
left,left
left,left
left,left
right,left
left,left
right,right
left,left
lean right,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
lean right,left
left,left
right,left
lean right,right
center,left
lean left,left
left,left
lean right,left
lean right,right
center,right
left,left
lean left,left
lean left,left
center,right
left,left
right,right
lean right,left
left,left
left,right
right,right
right,right
left,left
left,left
left,left
left,left
left,left
right,right
left,left
left,left
right,right
left,left
lean left,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
center,right
lean left,left
lean left,left
right,right
lean right,left
center,left
lean left,left
left,left
center,right
left,left
left,left
left,left
left,left
left,left
left,left
right,right
center,left
lean left,left
left,left
left,left
left,left
right,right
lean right,left
center,right
left,right
center,left
left,left
left,left
lean right,right
center,right
left,right
lean right,right
lean left,left
center,left
left,left
left,left
right,left
left,left
lean left,left
left,left
left,left
center,left
right,right
left,right
lean right,left
right,right
center,left
lean right,right
left,left
center,left
right,left
left,left
lean left,left
lean left,left
lean left,left
right,left
left,left
left,left
center,left
left,left
right,right
right,right
right,left
right,right
left,left
right,right
left,left
lean left,left
left,left
left,left
left,left
left,left
right,left
center,left
left,left
right,right
left,left
left,left
left,left
left,left
left,left
right,left
left,left
lean left,left
left,left
lean left,left
left,left
left,left
lean right,left
left,left
left,left
right,left
left,left
left,left
lean right,left
left,left
lean left,left
left,left
lean left,left
left,left
left,left
right,right
left,left
left,left
lean left,left
left,left
center,right
left,left
lean right,left
lean right,right
center,left
lean left,left
center,right
left,left
left,left
left,left
right,right
lean left,left
center,left
left,left
right,left
left,left
center,right
left,left
left,left
lean right,left
left,left
left,left
lean left,left
center,right
left,left
left,left
lean right,left
lean right,left
center,left
center,left
right,left
left,left
left,left
center,left
right,left
left,left
left,left
lean left,left
lean left,left
left,left
left,left
left,left
right,right
lean left,left
right,left
lean left,left
left,left
left,left
center,right
left,left
left,left
left,left
left,left
right,left
left,left
center,right
left,left
lean right,right
center,left
left,left
left,right
left,left
left,left
left,left
left,left
lean left,left
left,left
left,left
left,left
lean left,left
lean left,left
right,right
right,left
left,left
right,left
left,left
lean left,left
left,left
left,left
left,left
left,left
right,left
lean right,left
left,left
lean left,left
center,left
left,left
left,left
left,left
left,left
left,left
left,left
left,left
lean left,left
right,right
right,right
lean left,left
left,left
left,left
left,left
left,left
left,left
right,left
right,right
left,left
right,right
right,left
left,left
left,left
left,left
left,left
left,left
lean right,right
left,left
left,left
center,right
left,left
right,right
left,left
left,left
lean left,left
left,left
left,left
left,left
left,left
center,right
center,right
left,left
left,left
left,left
lean left,left
left,left
left,left
left,left
right,left
right,right
center,left
left,left
left,left
right,right
left,left
center,left
right,right
left,left
left,left
left,left
left,left
lean left,left
right,left
left,left
lean left,left
right,right
left,left
left,left
lean right,left
right,right
